2021-07-05 08:54:05 [main] ERROR com.bw.codegen.CodeGenMain.generateWithAlias(67)): - java.lang.RuntimeException: 表[lcb_gain_time`]不存在
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=materials_code, columnType=varchar, columnLength=40, columnComment=物资编码, attrName=MaterialsCode, attrname=materialsCode, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_extracode, columnType=varchar, columnLength=40, columnComment=扩展编码, attrName=MaterialExtracode, attrname=materialExtracode, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_fixedid, columnType=varchar, columnLength=40, columnComment=固定编码, attrName=MaterialFixedid, attrname=materialFixedid, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=material_remark, columnType=varchar, columnLength=40, columnComment=备注, attrName=MaterialRemark, attrname=materialRemark, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=is_standard, columnType=int, columnLength=null, columnComment=是否为标准物料  1：标准   0：非标准, attrName=IsStandard, attrname=isStandard, attrType=Integer, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=is_check, columnType=int, columnLength=null, columnComment=物料是否考核  1：已考核  0：未考核, attrName=IsCheck, attrname=isCheck, attrType=Integer, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=creator_id, columnType=varchar, columnLength=40, columnComment=创建者ID, attrName=CreatorId, attrname=creatorId, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=create_time, columnType=datetime, columnLength=null, columnComment=创建时间, attrName=CreateTime, attrname=createTime, attrType=Date, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=creator, columnType=varchar, columnLength=40, columnComment=创建者, attrName=Creator, attrname=creator, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=belong_type, columnType=varchar, columnLength=40, columnComment=, attrName=BelongType, attrname=belongType, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=delete_flag, columnType=varchar, columnLength=40, columnComment=删除标识 是：已删除  否：未删除, attrName=DeleteFlag, attrname=deleteFlag, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=version, columnType=varchar, columnLength=40, columnComment=版本, attrName=Version, attrname=version, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=file_id, columnType=varchar, columnLength=40, columnComment=文件ID, attrName=FileId, attrname=fileId, attrType=String, columnKey=]
2021-07-13 09:13:14 [main] DEBUG com.bw.codegen.CodeGenMain.getTableInfo(182)): - Gen [columnName=update_time, columnType=datetime, columnLength=null, columnComment=更新时间, attrName=UpdateTime, attrname=updateTime, attrType=Date, columnKey=]
